pseudo_user,VOC건수,대표공항,주VOC유형,주카테고리
68d3c88d77d22e55,3,김포공항,불편불만,직원관련
68ba94b8b18a4aaa,3,김포공항,단순문의,기타
678a2115d9245719,3,김해공항,불편불만,직원관련
2be0d9cd48fa423e,3,제주공항,불편불만,직원관련
80076fbe044d50f4,3,김포공항,불편불만,ID체크
800b9bcb0313f529,3,청주공항,불편불만,직원관련
7c7189c620150897,3,김포공항,불편불만,직원관련
7c28086814d0cf01,3,김해공항,단순문의,보안검색
6a0a6b1ef08990cd,3,제주공항,불편불만,기타
e650b07855e056a9,3,제주공항,불편불만,직원관련
070586b482446c08,3,김해공항,불편불만,직원관련
052bfd9422f2c6b7,3,김해공항,불편불만,직원관련
6a57bb9194093280,3,김포공항,불편불만,직원관련
621b345d6cec82f8,3,김포공항,불편불만,직원관련
64927c5a96196099,3,김포공항,불편불만,직원관련
64bf41a291dd194e,3,김포공항,불편불만,직원관련
7b0e0739ee269f0b,3,제주공항,불편불만,직원관련
7b3a14d11bde59fb,3,제주공항,불편불만,직원관련
250062b96a586d63,3,김해공항,불편불만,직원관련
7dc8debddec9bac8,3,청주공항,제안건의,기타
de818ac586d6b711,3,김포공항,불편불만,직원관련
dee9feda3e75769d,3,김포공항,불편불만,직원관련
7e1a1cc6b849764a,3,김포공항,불편불만,터미널
7d39c20f3d08877a,3,제주공항,단순문의,보안검색
e957e25f5533e58a,3,김포공항,불편불만,직원관련
0631cf2aa5722451,3,제주공항,불편불만,주차장
066d0c4c72b8b662,3,김해공항,불편불만,직원관련
ec3530ebc7018c03,3,김해공항,불편불만,직원관련
66980ea04ec25436,3,김포공항,단순문의,기타
61daabe1fe418bcf,3,청주공항,불편불만,주차장
61e8b515b0712984,3,제주공항,불편불만,터미널
243e7b069f2df2e8,3,김해공항,불편불만,터미널
2481cf9895fd55b6,3,청주공항,불편불만,연계교통
22d063498312c14a,3,김포공항,불편불만,주차장
0a68e7de06c723fd,3,제주공항,불편불만,보안검색
7edb9d2f743514bc,3,제주공항,불편불만,직원관련
eaa9a11cf776335f,3,김포공항,불편불만,주차장
04c56610c5641f5f,3,김해공항,불편불만,직원관련
05163a94c70b648b,3,김포공항,불편불만,직원관련
62d2fe2c38f49e13,3,김포공항,단순문의,보안검색
edc663def24fe475,3,청주공항,불편불만,직원관련
f0a4b6cd4462fe55,3,김포공항,불편불만,기타
58a5e162f228f191,3,김포공항,불편불만,기타
58d9822654b67c46,3,김포공항,불편불만,항공사
8117fe0fdd1599b0,3,제주공항,불편불만,주차장
819b9720eeb63ebe,3,김해공항,불편불만,ID체크
84f4c8f271ce315d,3,제주공항,불편불만,직원관련
d8ff6199e5f48af2,3,제주공항,불편불만,직원관련
0a7cada7717760cd,3,김해공항,단순문의,항공사
d883f1b26d67059a,3,김포공항,단순문의,기타
db5b4e742b43444b,3,김포공항,항공기소음,기타
83b1346a99f98466,3,김포공항,불편불만,직원관련
